metric,workload,architecture,value,raw_source_file,extraction_method
interconnect_or_network_energy_pJ,alexnet_conv2_compute_intensive,planar,NA,ieee_revision/experiments/raw_outputs/alexnet_conv2_compute_intensive/planar/timeloop-model.stats.txt,NA: stats Networks section contains no separately reported energy
highest_level_reads,alexnet_conv2_compute_intensive,planar,17338752,ieee_revision/experiments/raw_outputs/alexnet_conv2_compute_intensive/planar/timeloop-model.stats.txt,Sum DRAM Scalar reads (per-instance) across dataspaces
highest_level_writes,alexnet_conv2_compute_intensive,planar,186624,ieee_revision/experiments/raw_outputs/alexnet_conv2_compute_intensive/planar/timeloop-model.stats.txt,Sum DRAM Scalar fills plus Scalar updates across dataspaces
local_memory_reads,alexnet_conv2_compute_intensive,planar,55796688,ieee_revision/experiments/raw_outputs/alexnet_conv2_compute_intensive/planar/timeloop-model.stats.txt,Sum local-buffer Scalar reads; 3D also includes stacked_sram reads
local_memory_writes,alexnet_conv2_compute_intensive,planar,26363664,ieee_revision/experiments/raw_outputs/alexnet_conv2_compute_intensive/planar/timeloop-model.stats.txt,Sum local-buffer Scalar fills and updates; 3D also includes stacked_sram writes
total_MACs,alexnet_conv2_compute_intensive,planar,447897600,ieee_revision/experiments/raw_outputs/alexnet_conv2_compute_intensive/planar/timeloop-model.stats.txt,Parse Computes from Summary Stats
latency_us,alexnet_conv2_compute_intensive,planar,3110.4,ieee_revision/experiments/raw_outputs/alexnet_conv2_compute_intensive/planar/timeloop-model.stats.txt; ieee_revision/experiments/raw_outputs/alexnet_conv2_compute_intensive/planar/input.yaml,cycles * 1 ns / 1000 ns/us using input global_cycle_seconds=1e-9
external_DRAM_reads,alexnet_conv2_compute_intensive,planar,17338752,ieee_revision/experiments/raw_outputs/alexnet_conv2_compute_intensive/planar/timeloop-model.stats.txt,Planar: parsed DRAM reads; 3D: deterministic zero because input has no DRAM component
external_DRAM_writes,alexnet_conv2_compute_intensive,planar,186624,ieee_revision/experiments/raw_outputs/alexnet_conv2_compute_intensive/planar/timeloop-model.stats.txt,Planar: parsed DRAM fills+updates; 3D: deterministic zero because input has no DRAM component
total_energy_pJ,alexnet_conv2_compute_intensive,integrated_3d,2261550000,ieee_revision/experiments/raw_outputs/alexnet_conv2_compute_intensive/integrated_3d/timeloop-model.stats.txt,Parse Summary Stats Energy (uJ); multiply by 1e6
energy_per_compute_pJ,alexnet_conv2_compute_intensive,integrated_3d,5.04925,ieee_revision/experiments/raw_outputs/alexnet_conv2_compute_intensive/integrated_3d/timeloop-model.stats.txt,Parse Total fJ/Compute; divide by 1000
cycles,alexnet_conv2_compute_intensive,integrated_3d,3110400,ieee_revision/experiments/raw_outputs/alexnet_conv2_compute_intensive/integrated_3d/timeloop-model.stats.txt,Parse Summary Stats Cycles
utilization,alexnet_conv2_compute_intensive,integrated_3d,0.8571,ieee_revision/experiments/raw_outputs/alexnet_conv2_compute_intensive/integrated_3d/timeloop-model.stats.txt,Parse Summary Stats Utilization percent; divide by 100
DRAM_or_highest_level_energy_pJ,alexnet_conv2_compute_intensive,integrated_3d,279387225.1,ieee_revision/experiments/raw_outputs/alexnet_conv2_compute_intensive/integrated_3d/timeloop-model.stats.txt,Sum stacked_sram leakage and per-dataspace Energy (total)
SRAM_or_local_buffer_energy_pJ,alexnet_conv2_compute_intensive,integrated_3d,1803647754,ieee_revision/experiments/raw_outputs/alexnet_conv2_compute_intensive/integrated_3d/timeloop-model.stats.txt,Sum leakage and Energy (total) for shared_glb and three PE scratchpads
compute_energy_pJ,alexnet_conv2_compute_intensive,integrated_3d,178510036.4,ieee_revision/experiments/raw_outputs/alexnet_conv2_compute_intensive/integrated_3d/timeloop-model.stats.txt,Parse mac Energy (total)
interconnect_or_network_energy_pJ,alexnet_conv2_compute_intensive,integrated_3d,NA,ieee_revision/experiments/raw_outputs/alexnet_conv2_compute_intensive/integrated_3d/timeloop-model.stats.txt,NA: stats Networks section contains no separately reported energy
highest_level_reads,alexnet_conv2_compute_intensive,integrated_3d,17338752,ieee_revision/experiments/raw_outputs/alexnet_conv2_compute_intensive/integrated_3d/timeloop-model.stats.txt,Sum stacked_sram Scalar reads (per-instance) across dataspaces
highest_level_writes,alexnet_conv2_compute_intensive,integrated_3d,186624,ieee_revision/experiments/raw_outputs/alexnet_conv2_compute_intensive/integrated_3d/timeloop-model.stats.txt,Sum stacked_sram Scalar fills plus Scalar updates across dataspaces
local_memory_reads,alexnet_conv2_compute_intensive,integrated_3d,73135440,ieee_revision/experiments/raw_outputs/alexnet_conv2_compute_intensive/integrated_3d/timeloop-model.stats.txt,Sum local-buffer Scalar reads; 3D also includes stacked_sram reads
local_memory_writes,alexnet_conv2_compute_intensive,integrated_3d,26550288,ieee_revision/experiments/raw_outputs/alexnet_conv2_compute_intensive/integrated_3d/timeloop-model.stats.txt,Sum local-buffer Scalar fills and updates; 3D also includes stacked_sram writes
total_MACs,alexnet_conv2_compute_intensive,integrated_3d,447897600,ieee_revision/experiments/raw_outputs/alexnet_conv2_compute_intensive/integrated_3d/timeloop-model.stats.txt,Parse Computes from Summary Stats
latency_us,alexnet_conv2_compute_intensive,integrated_3d,3110.4,ieee_revision/experiments/raw_outputs/alexnet_conv2_compute_intensive/integrated_3d/timeloop-model.stats.txt; ieee_revision/experiments/raw_outputs/alexnet_conv2_compute_intensive/integrated_3d/input.yaml,cycles * 1 ns / 1000 ns/us using input global_cycle_seconds=1e-9
external_DRAM_reads,alexnet_conv2_compute_intensive,integrated_3d,0,ieee_revision/experiments/raw_outputs/alexnet_conv2_compute_intensive/integrated_3d/timeloop-model.stats.txt,Planar: parsed DRAM reads; 3D: deterministic zero because input has no DRAM component
external_DRAM_writes,alexnet_conv2_compute_intensive,integrated_3d,0,ieee_revision/experiments/raw_outputs/alexnet_conv2_compute_intensive/integrated_3d/timeloop-model.stats.txt,Planar: parsed DRAM fills+updates; 3D: deterministic zero because input has no DRAM component
